ano_registro,id_producto,ano_publicacion,titulo,tipo_producto,tipo autor principal,autor principal,autores,documento
2012,100300053,2012,La Inocuidad como estrategia competitiva para la producción de carne de cerdo,Libro con arbitraje internacional,Interno,Vázquez Moreno Luz,"*Vázquez Moreno Luz,Ramos Clamont Montfort Gabriela,Villoch Cambas Alejandra María",http://200.23.35.7/archivos/productos/investigacion/libros/100300053_1.pdf
2012,100300029,2012,For tha responsible use o genetically modified organisms,Libro con arbitraje internacional,Externo,Bolívar Zapata Francisco Gonzalo,"De la Torre Martínez María Mayra,Arias Ortiz Carlos,Arriaga Arellano Elena,Barrera Saldaña Hugo,Espinosa  Fernández Jorge,Galindo Fentanes Enrique,Gálvez Mariscal Amanda,Gracia Gasca Adolfo,Herrera Estrella Luis,Larqué Saavedra Alfonso,López Munguía Canales Agustín,Noyola Robles Adalberto,Paredes López Octavio,Ramírez Reivich Tonatiuh,Revah Moiseev Sergio,Soberón Mainero Jorge,Soberón Mainero Xavier,Torres Pacheco Irineo,Uribe De La Mora Jaime,Viniegra González Gustavo,*Bolívar Zapata Francisco Gonzalo",http://200.23.35.7/archivos/productos/investigacion/libros/100300029_1.pdf
2012,100300048,2012,Del mar y del desierto. Gastronomía de los comcaac (seris). Ecoturismo y pueblos indígenas,Libro con arbitraje nacional,Interno,Luque Agraz Diana María Perfecta,"*Luque Agraz Diana María Perfecta,Cabrera Luque  Eva María",http://200.23.35.7/archivos/productos/investigacion/libros/100300048_1.pdf
2012,100300047,2012,Estudiantes intelectualmente sobresalientes,Libro con arbitraje nacional,"Interno,Estudiante","Vera Noriega José Angel,Valdés Cuervo Angel Alberto","*Vera Noriega José Angel,*Valdés Cuervo Angel Alberto",http://200.23.35.7/archivos/productos/investigacion/libros/100300047_1.pdf
2012,100300051,2011,Manual de Análisis de Calidad en Muestras de Carne,Libro con arbitraje nacional,Externo,Braña Varela Diego,"Sánchez Escalante Armida,Torrescano Urrutia Gastón Ramón,*Braña Varela Diego,Ramirez Rodriguez Ericka,Rubio Lozano M.S.,Ponce Alquicira E.,Ríos Rincón Francisco Gerardo,Partida de la Peña Jose Armando,Arenas de Moreno María Lilia",http://200.23.35.7/archivos/productos/investigacion/libros/100300051_1.pdf
2012,100300041,2012,Manufactura del queso chihuahua,Libro con arbitraje regional,Interno,Sepúlveda Ahumada David Roberto,"*Sepúlveda Ahumada David Roberto,García Amezquita Luis Eduardo,Esparza Chávez Angel",http://200.23.35.7/archivos/productos/investigacion/libros/100300041_1.pdf
2012,100300045,2012,NUEVAS BACTERIAS AISLADAS DE PLÁNTULAS DE CHILE EN INVERNADERO,Libro con arbitraje regional,Interno,Ávila Quezada Graciela Dolores,"*Ávila Quezada Graciela Dolores,Saenz Hidalgo Hilda Karina,Silva Rojas Hilda,Baez Iracheta Francisco,Orozco Hernandez Gamaliel,Berzoza Martínez Mario",http://200.23.35.7/archivos/productos/investigacion/libros/100300045_1.pdf
2012,100300046,2012,Psicopedagogia para profesores de educacion basica,Libro con arbitraje regional,Interno,Vera Noriega José Angel,*Vera Noriega José Angel,http://200.23.35.7/archivos/productos/investigacion/libros/100300046_1.pdf
2013,100300056,2013,CAMARON  ANÁLISIS EN FRESCO HERRAMIENTA DE DIAGNÓSTICO,Libro con arbitraje internacional,Interno,Morales Covarrubias María Soledad,*Morales Covarrubias María Soledad,http://200.23.35.7/archivos/productos/investigacion/libros/100300056_1.pdf
2013,100300060,2013,Revolución Verde (1944-2008): Modernidad y Tecnociencia en Sonora,Libro con arbitraje internacional,Interno,Noriega Orozco Blanca Rebeca,*Noriega Orozco Blanca Rebeca,http://200.23.35.7/archivos/productos/investigacion/libros/100300060_1.pdf
